datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-02-17 09:00:00,1,0,1,1,14.76,17.425,57,12.998,16,163,179
2011-10-13 18:00:00,4,0,1,3,25.42,28.79,83,16.9979,20,248,268
2012-01-03 16:00:00,1,0,1,1,5.74,4.545,39,39.0007,7,129,136
2011-07-01 09:00:00,3,0,1,1,30.34,32.575,35,11.0014,58,202,260
2012-10-02 17:00:00,4,0,1,3,25.42,28.03,88,7.0015,38,677,715
2012-12-12 08:00:00,4,0,1,2,10.66,12.88,65,11.0014,18,670,688
2012-01-04 06:00:00,1,0,1,1,0.82,2.275,41,11.0014,0,59,59
2012-01-05 20:00:00,1,0,1,1,12.3,16.665,49,0,5,172,177
2012-02-04 22:00:00,1,0,0,2,9.84,12.88,87,6.0032,4,91,95
2012-05-07 08:00:00,2,0,1,2,20.5,24.24,82,12.998,31,608,639
2012-11-07 04:00:00,4,0,1,2,11.48,12.88,52,19.9995,0,9,9
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6
2012-02-18 10:00:00,1,0,0,1,10.66,13.635,81,7.0015,48,157,205
2012-07-03 23:00:00,3,0,1,1,27.06,30.305,83,0,19,152,171
2011-11-19 13:00:00,4,0,0,1,17.22,21.21,30,19.0012,118,245,363
2011-08-11 02:00:00,3,0,1,1,27.06,31.06,54,8.9981,3,8,11
2012-04-05 18:00:00,2,0,1,1,20.5,24.24,31,7.0015,80,618,698
2011-09-16 05:00:00,3,0,1,1,15.58,19.695,76,12.998,2,30,32
2012-05-02 07:00:00,2,0,1,2,22.14,25.76,88,12.998,14,344,358
2011-12-11 08:00:00,4,0,0,1,6.56,11.365,69,0,4,68,72
2012-11-10 12:00:00,4,0,0,1,19.68,23.485,48,0,258,348,606
2011-07-15 09:00:00,3,0,1,1,27.88,31.82,54,12.998,31,176,207
2012-08-09 19:00:00,3,0,1,1,32.8,37.88,55,12.998,90,533,623
2012-03-09 16:00:00,1,0,1,1,19.68,23.485,23,27.9993,51,292,343
2011-09-17 18:00:00,3,0,0,2,21.32,25,72,15.0013,95,234,329
2011-02-07 07:00:00,1,0,1,1,7.38,12.12,86,0,6,89,95
2012-04-06 05:00:00,2,0,1,1,13.12,15.15,53,22.0028,0,23,23
2011-12-02 14:00:00,4,0,1,1,17.22,21.21,44,7.0015,25,145,170
2011-10-18 17:00:00,4,0,1,1,24.6,30.305,60,8.9981,72,553,625
2011-08-01 13:00:00,3,0,1,1,36.9,40.15,31,19.9995,38,112,150
2011-05-07 01:00:00,2,0,0,1,17.22,21.21,82,7.0015,8,50,58
2012-08-03 16:00:00,3,0,1,2,35.26,39.395,41,15.0013,112,380,492
2012-06-19 07:00:00,2,0,1,2,24.6,28.79,78,8.9981,18,462,480
2012-07-11 23:00:00,3,0,1,2,28.7,32.575,58,16.9979,20,132,152
2012-10-11 01:00:00,4,0,1,1,18.04,21.97,47,12.998,1,10,11
2012-12-11 10:00:00,4,0,1,1,14.76,16.665,57,22.0028,12,142,154
2011-07-15 20:00:00,3,0,1,1,28.7,32.575,51,15.0013,92,251,343
2011-12-18 07:00:00,4,0,0,1,8.2,10.605,59,11.0014,1,11,12
2011-08-18 12:00:00,3,0,1,1,32.8,37.12,52,19.0012,34,139,173
2011-06-09 08:00:00,2,0,1,2,31.16,36.365,70,7.0015,32,400,432
2011-11-16 04:00:00,4,0,1,2,18.04,21.97,100,15.0013,1,3,4
2012-11-03 04:00:00,4,0,0,2,13.12,15.15,49,19.9995,8,8,16
2012-12-19 19:00:00,4,0,1,1,15.58,19.695,50,26.0027,7,329,336
2012-03-15 21:00:00,1,0,1,1,22.14,25.76,68,19.0012,36,207,243
2011-08-11 07:00:00,3,0,1,1,27.06,31.06,54,8.9981,15,292,307
2012-03-04 16:00:00,1,0,0,1,14.76,15.91,29,32.9975,68,231,299
2011-10-13 04:00:00,4,0,1,2,22.14,25.76,100,7.0015,2,5,7
2011-11-14 06:00:00,4,0,1,2,18.04,21.97,72,15.0013,10,104,114
2012-03-02 18:00:00,1,0,1,3,14.76,17.425,87,12.998,6,154,160
2011-03-06 01:00:00,1,0,0,2,17.22,21.21,77,19.0012,12,27,39
